scope,group,roll_profile,build_count,metric,n,min,p10,p25,median,p75,p90,max,mean,sample_sd,mad
family,family_unclassified,upper_quartile_proxy,36,spell_display_avg_max,36,13083.3829,17403.1137,22600.5374,30706.6224,52134.2199,92579.5126,171519.8356,45274.3434,37202.5997,11253.3634
family,family_unclassified,upper_quartile_proxy,36,spell_display_avg_sum,36,27425.7936,35755.5865,41113.2567,56621.299,95123.2227,137002.195,265000.5016,76858.2826,52542.0454,19055.956
family,family_unclassified,upper_quartile_proxy,36,heal_pct,36,-51,-21,-7,0,0,0,68,-1.8611,20.1638,0
family,family_unclassified,upper_quartile_proxy,36,skill_points_assigned,36,131,150,173.5,191.5,196,198.5,200,182.1667,19.3383,6
family_class,family_unclassified:archer,upper_quartile_proxy,8,total_hp,8,13142,13991.8,14545,15972.5,18482,20318,23923,16891.5,3435.2458,2014.5
family_class,family_unclassified:archer,upper_quartile_proxy,8,ehp,8,12315.3846,14136.156,19208.1671,25509.4836,37635.0687,44924.628,54825.8262,28877.0402,14460.8773,10851.593
family_class,family_unclassified:archer,upper_quartile_proxy,8,ehp_no_agi,8,11529.2434,12079.5422,13899.2897,18335.6143,27773.6534,44383.052,53020.5731,24014.508,15017.0874,5577.8671
family_class,family_unclassified:archer,upper_quartile_proxy,8,hpr,8,-291.6,-247.08,-177.4425,115.765,450.3125,999.929,1387.68,261.9088,584.6173,310.06
family_class,family_unclassified:archer,upper_quartile_proxy,8,ehpr,8,-419.2152,-349.6714,-211.5052,170.7286,994.1707,2218.7903,3180.2325,642.16,1255.1515,521.59
family_class,family_unclassified:archer,upper_quartile_proxy,8,ls,8,-467,-188.4,-42.75,0,286.5,546,693,103.375,358.7466,145
family_class,family_unclassified:archer,upper_quartile_proxy,8,effective_ls,8,-688.7251,-258.1923,-58.2272,0,463.0126,645.8509,996.2829,141.0746,502.2884,262.9033
family_class,family_unclassified:archer,upper_quartile_proxy,8,mr,8,-9,-2.7,15,23.5,38.75,42.8,47,23,19.6396,16
family_class,family_unclassified:archer,upper_quartile_proxy,8,total_mr,8,16,22.3,40,48.5,63.75,67.8,72,48,19.6396,16
family_class,family_unclassified:archer,upper_quartile_proxy,8,ms,8,-16,-11.8,-2.5,7.5,26,37.7,51,12,22.7722,17
family_class,family_unclassified:archer,upper_quartile_proxy,8,mana_per_hit,8,-10.4575,-4.2754,-0.4065,1.9512,12.5817,24.6405,33.3333,6.9839,14.0494,5.715
family_class,family_unclassified:archer,upper_quartile_proxy,8,total_mana,8,136,140.9,147.5,188,218.75,245.6,303,193.25,57.0858,36
family_class,family_unclassified:archer,upper_quartile_proxy,8,walk_speed,8,-33,-27.4,-19,-16.5,0,7.2,24,-10.5,17.8965,12.5
family_class,family_unclassified:archer,upper_quartile_proxy,8,attack_tier,8,-67,-30.6,-9,-3.5,-1.75,-0.7,0,-12.375,22.5765,3
family_class,family_unclassified:archer,upper_quartile_proxy,8,attacks_per_second,8,0.51,0.51,0.51,0.51,0.895,2.05,2.05,0.895,0.7129,0
family_class,family_unclassified:archer,upper_quartile_proxy,8,poison,8,0,0,0,0,0,2257.2,7524,940.5,2660.1357,0
family_class,family_unclassified:archer,upper_quartile_proxy,8,main_attack_range_pct,8,-21,-12.6,-7.5,0,0,0,0,-4.625,7.5581,0
family_class,family_unclassified:archer,upper_quartile_proxy,8,main_attack_range_blocks,8,5.58,7.757,9.68,11,11,11,11,9.91,1.9342,0
family_class,family_unclassified:archer,upper_quartile_proxy,8,main_attack_dps,8,1397.4022,1722.9572,2647.9088,4177.8828,6017.9938,8446.8103,10315.0182,4745.2262,3013.7747,1806.3972
family_class,family_unclassified:archer,upper_quartile_proxy,8,spell_display_avg_max,8,23787.0171,25513.6431,28779.7682,31948.7184,36893.7524,57986.4785,95769.9397,39547.9853,23377.3063,4503.4277
family_class,family_unclassified:archer,upper_quartile_proxy,8,spell_display_avg_sum,8,55373.6989,60259.0014,65647.2833,83784.8566,89675.7454,107223.7567,144304.8184,84600.2482,27572.0485,12293.1981
